Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
23;0;;;35/42;1;Externo;197601;CROUTON TEMPERADO 120G;CROUTON;CROUTON  NATURAL;UN;9,85;585,00;;;;0,12;197601;1976;9,8500;7896207801976;;P ACAB - 2114;CROUTON TEMPERADO 120G
23;0;;;35/42;1;Externo;197615;CROUTON TEMPERADO 120G CX C/15;CROUTON;CROUTON TEMPERADO 120 g;CX;147,75;39,00;;;86;1,8;197615;;9,8500;;;P ACAB - 2114;CROUTON TEMPERADO 120G CX C/15
23;0;;;35/42;1;Externo;145701;CROUTON TEMPERADO 500G;CROUTON;CROUTON TEMPERADO 500 g;UN;28,89;180,00;;;;0,5;145701;1457;28,8900;7896207801457;;P ACAB - 2118;CROUTON TEMPERADO 500G
23;0;;;35/42;1;Externo;145710;CROUTON TEMPERADO 500G CX C/10;CROUTON;CROUTON TEMPERADO 500 g;CX;288,90;18,00;;;35;5;145710;;28,8900;;;P ACAB - 2118;CROUTON TEMPERADO 500G CX C/10
0;0;0;C;35/42;1;Externo;9067001;CROUTON TEMPERADO 500G INST. CF;CASA FORTUNATO;Crouton Casa Fortunato;UN;10,11;0,00;N;;;0,5;9067001;90670;10,1100;7898707290670;;P ACAB - 22340;CROUTON TEMPERADO 500G INST. CF
;;;;35/42;1;Externo;9067005;CROUTON TEMPERADO 500G INST. CF CX C/5;CASA FORTUNATO;Crouton Casa Fortunato;CX;50,55;0,00;N;;;2,5;9067005;;10,1100;;;P ACAB - 22340;CROUTON TEMPERADO 500G INST. CF CX C/5
;;;;35/42;1;Externo;9062520;CROUTON TRADICIONAL 100G C. F. CX C/20;CROUTON;CROUTON ALHO 500;CX;56,00;0,00;N;;;2;9062520;;2,8000;;;;CROUTON TRADICIONAL 100G C. F. CX C/20
0;0;0;C;35/42;1;Externo;9062501;CROUTON TRADICIONAL 100G CF;CASA FORTUNATO;Crouton Casa Fortunato;UN;2,80;0,00;N;;;0,1;9062501;90625;2,8000;7898707290625;;;CROUTON TRADICIONAL 100G CF
;;;;35/42;1;Externo;232220;GRISSINI ALECRIM 90G CF CX C/20;CASA FORTUNATO;GRISSINI ALECRIM - FORT;CX;60,00;0,00;N;;;1,8;232220;;3,0000;;;P ACAB - 22321;GRISSINI ALECRIM 90G CF CX C/20
23;0;;;35/42;1;Externo;249201;GRISSINI ALHO 120G;GRISSINI;GRISSINI ALHO;UN;7,36;825,00;;;;0,12;249201;2492;7,3600;7896207802492;;P ACAB - 2200;GRISSINI ALHO 120G
23;0;;;35/42;1;Externo;249215;GRISSINI ALHO 120G CX C/15;GRISSINI;GRISSINI ALHO;CX;110,40;55,00;;;168;1,8;249215;;7,3600;7896207802492;;P ACAB - 2200;GRISSINI ALHO 120G CX C/15
;;0;C;35/42;1;Externo;456101;GRISSINI ALHO E SALSA 120G LA PETISSE;LA PETISSE;GRISSINI - LA PET;UN;2,83;0,00;N;;;0,12;456101;4561;2,8300;0618231094561;;P ACAB - 22300;GRISSINI ALHO E SALSA 120G LA PETISSE
;;;;35/42;1;Externo;233920;GRISSINI ALHO E SALSA 90G CF CX C/20;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;CX;40,00;0,00;N;;;1,8;233920;;2,0000;;;P ACAB - 22320;GRISSINI ALHO E SALSA 90G CF CX C/20
23;0;;;35/42;1;Externo;256001;GRISSINI CEBOLA 120G;GRISSINI;GRISSINI  CEBOLA;UN;7,36;510,00;;;;0,12;256001;2560;7,3600;7896207802560;;P ACAB - 2203;GRISSINI CEBOLA 120G
23;0;;;35/42;1;Externo;256015;GRISSINI CEBOLA 120G CX C/15;GRISSINI;GRISSINI  CEBOLA;CX;110,40;34,00;;;111;1,8;256015;;7,3600;7896207802560;;P ACAB - 2203;GRISSINI CEBOLA 120G CX C/15
23;0;0;C;35/42;1;Externo;261201;GRISSINI FEITO COM  MULTIGRAOS 90G CF;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;UN;2,35;0,00;N;;;0;261201;2612;2,3500;7898707290229;;;GRISSINI FEITO COM  MULTIGRAOS 90G CF
